AAV2020;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
258;1851.18465;14116.25581;13.11
9B1;27336.35047;209685.12063;13.04
025;29652.86217;228752.33956;12.96
125;4849.09338;37509.06601;12.93
372;966.58293;7489.18326;12.91
237;2157.86901;16728.08907;12.9
075;9216.94529;71972.53296;12.81
9D5;2943.24501;23003.88235;12.79
658;278.22778;2178.13358;12.77
003;124860.0484;980258.35053;12.74
050;18239.11418;143174.53118;12.74
626;339.33497;2675.88747;12.68
020;34442.06976;271693.4047;12.68
029;25844.23707;204204.74586;12.66
280;1566.52575;12400.27211;12.63
318;1486.75616;11794.22843;12.61
074;9728.39015;77237.77727;12.6
426;779.39587;6203.77078;12.56
576;415.69327;3311.25715;12.55
562;451.46361;3600.02725;12.54
084;8973.56366;72043.0957;12.46
135;4292.86368;34584.79629;12.41
010;54158.49661;437520.35924;12.38
008;62955.45843;508770.12839;12.37
013;47169.867;382264.49417;12.34
058;12977.07518;105267.91538;12.33
273;1590.54893;12900.84085;12.33
053;15782.44294;128326.24235;12.3
424;772.68655;6280.02154;12.3
442;862.52148;7029.89083;12.27
SAR;2117.08554;17279.02865;12.25
200;4064.09436;33172.34466;12.25
172;3284.59708;26833.12356;12.24
014;47707.5217;390755.54977;12.21
450;659.62639;5432.7943;12.14
022;33980.30659;280158.7261;12.13
401;786.64314;6490.45788;12.12
182;3184.53385;26304.83721;12.11
006;89724.54457;742314.95753;12.09
177;3304.20819;27393.333;12.06
163;3631.91376;30111.71162;12.06
9A1;23005.26666;191345.11729;12.02
454;638.69685;5315.97975;12.01
534;505.56468;4214.96885;11.99
133;4533.82907;37853.87064;11.98
141;4027.38748;33708.76325;11.95
262;1881.67392;15789.57997;11.92
260;1941.14656;16349.60888;11.87
9B2;499.44066;4232.45029;11.8
178;2933.61334;24874.11644;11.79
201;2611.63783;22165.02423;11.78
319;1398.71247;11946.53929;11.71
028;25914.58811;221566.44356;11.7
064;11141.20598;95328.04491;11.69
596;359.82771;3084.67705;11.67
678;139.01334;1194.12591;11.64
239;2414.58099;20779.82995;11.62
613;343.82769;2975.62165;11.55
151;4245.76634;36810.27234;11.53
045;17298.71099;150066.81995;11.53
628;320.67744;2785.31006;11.51
138;4217.85992;36908.07613;11.43
041;21229.88246;186124.75215;11.41
070;9244.45129;81400.19348;11.36
040;20151.31153;178331.37268;11.3
222;1974.32109;17520.45175;11.27
627;326.22096;2909.54485;11.21
479;619.19435;5523.53997;11.21
640;265.11611;2372.09283;11.18
417;764.90189;6860.04879;11.15
300;1646.72588;14772.26423;11.15
418;838.34175;7540.14374;11.12
552;413.56329;3731.41033;11.08
067;8346.58832;75434.7795;11.06
304;1511.39572;13674.6412;11.05
062;10650.91954;96933.85957;10.99
236;1637.7897;14989.24501;10.93
482;694.05308;6372.94803;10.89
524;462.66668;4252.5397;10.88
097;7432.45338;68317.3554;10.88
380;752.16407;6920.41803;10.87
433;654.8941;6034.89701;10.85
165;2966.84768;27366.07316;10.84
046;16141.5617;149526.08752;10.8
089;8238.10835;76559.43321;10.76
134;3925.71832;36495.76271;10.76
142;4036.1271;37646.37661;10.72
539;539.4615;5044.50393;10.69
326;1171.19645;10967.41868;10.68
604;329.84372;3098.5032;10.65
452;733.947;6894.18795;10.65
