GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
095;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;8445.08912
096;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5652.42062
097;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;7432.45338
098;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4250.42063
100;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;9034.75646
101;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5934.20674
102;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6769.11807
103;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2928.87026
104;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5523.95902
105;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3660.56705
106;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2988.98956
107;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5228.38967
108;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4170.63821
109;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5151.32969
110;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4215.11437
111;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3682.84768
112;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;10250.5333
113;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3139.40641
114;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;7910.70092
115;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3076.61771
116;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6156.69841
117;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3920.35485
118;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5828.77663
119;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4154.24169
120;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2657.10563
121;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2105.28312
122;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4648.52437
123;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3709.29194
124;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6123.91858
125;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4849.09338
126;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3397.42931
127;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1883.09517
128;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;7624.47475
129;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2315.75001
130;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6638.95915
131;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1470.63415
132;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3359.64548
133;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4533.82907
134;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3925.71832
