GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
094;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;61315.72754
095;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;63290.29402
096;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;54366.89673
097;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;68317.3554
098;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;73489.05937
100;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;64292.26283
101;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;64838.17175
102;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;63658.20718
103;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;65371.31326
104;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;65776.64477
105;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;56414.88648
106;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;53625.87567
107;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;52836.3129
108;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;46517.40785
109;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;56923.05413
110;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;57501.6054
111;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;53473.77223
112;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;43428.34147
113;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;59378.8062
114;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;47155.26376
115;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;49484.98656
116;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;44034.30923
117;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;44583.18339
118;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;44442.37975
119;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;53160.59359
120;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;43861.68611
121;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;39858.25987
122;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;44485.93266
123;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;48767.57782
124;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;40493.19928
125;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37509.06601
126;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;45386.75709
127;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37771.38996
128;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37305.92732
129;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;42888.38234
130;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37816.51542
131;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;69946.18924
132;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;41764.1514
133;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37853.87064
134;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36495.76271
135;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;34584.79629
136;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;34650.55671
137;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;42949.49082
138;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36908.07613
139;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;58548.6311
140;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37320.97171
141;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;33708.76325
142;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37646.37661
143;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;44080.49933
144;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;29623.64066
145;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36779.11507
146;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;32883.46051
147;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30262.35164
148;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36554.06384
149;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37963.48608
150;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;33591.4464
151;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36810.27234
152;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;32388.68049
153;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;38176.82693
154;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;33379.44364
155;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;27266.07813
156;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26813.2899
157;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30886.39573
158;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;28686.48101
159;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30690.67479
160;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;31284.81109
161;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30369.78542
162;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30411.11001
163;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30111.71162
164;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;28453.72564
165;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;27366.07316
166;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;73509.15501
167;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30423.56639
168;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;27096.37707
169;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;25099.63966
170;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;30195.98944
171;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;28579.3791
172;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26833.12356
173;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;23692.34944
174;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;27870.2593
175;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;27136.78348
176;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;28018.35168
177;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;27393.333
178;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;24874.11644
179;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;33681.78921
180;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26520.27961
181;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26072.7747
182;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26304.83721
183;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26327.07356
184;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;24231.14737
185;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26667.69356
186;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36158.19867
187;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26582.05937
188;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;26419.44479
189;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;22814.57632
190;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;25154.56005
191;AAV2020;_T;_T;_T;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;23048.27326
