AAV2020;CS2;CS3;CS5;CS6
115;5491.905859712986;7174.6855415903165;21194.1456233453;14895.996741416804
116;3937.5241306535872;6944.356018333041;19278.105653130453;16142.148643170718
117;3821.470183864284;6186.215283897056;17512.116097490783;19453.15101483079
118;4334.948342957702;7676.766368534976;19276.892512600793;18508.23164952471
119;5732.070885926456;7540.57835456253;20871.456581687693;12436.128839053352
120;5686.347612673845;8019.079483919031;19880.307293802867;14767.933347631426
121;3285.2439863255477;7351.529847938064;18783.998318666254;19405.70420974025
122;3469.950473432527;6169.535873388231;20195.140732791173;14819.54337113816
123;5156.119183924136;6623.960191543139;20246.05798999645;14335.163379452773
124;4064.4970312799205;6598.813765346797;18657.702626864866;18580.087773453168
125;3222.0189962994164;8440.809502944776;19229.489876565396;14786.983985500086
126;6985.860262934735;7264.934192621007;20465.404017476172;11316.457447062703
127;3610.1415193449493;9289.406223551536;21683.781531553934;20729.60737672966
128;3402.319231846583;6442.571646003227;17127.125578766485;16504.94906600925
129;5706.047518886314;5128.44889530038;17310.064375258386;12941.67796601474
130;3741.759923800004;6397.20679975941;16615.097033205133;15139.047520209622
131;6679.566234901746;4768.569949599342;16068.065667460314;9381.876515690612
132;4080.9644814465382;6675.012692084326;16132.709006420826;15978.276605018638
133;4014.8435863492073;5977.1487742869795;16038.78350466452;16252.680824214096
134;3733.1502365893207;6692.8412185282305;15960.307550747531;14750.002612030585
135;3951.2649662148265;11540.867598771023;16713.561490586737;11235.218653959071
136;2541.3353832751545;5514.162284771624;16531.569907429366;14649.696472739446
137;5237.4486257869;9212.335736140965;15060.974890310299;11606.964915495737
138;3417.0083697840805;5154.527278976254;15667.81803996884;16005.433159656784
139;6097.100884131868;6865.283175084947;15955.990866589245;11448.865115214277
140;4335.391082765724;5973.284083730599;19172.16769484329;12047.288442262397
141;4429.315357128361;7067.717709092635;14808.958751232563;13669.839102809316
142;3700.897371229427;4850.00075361219;14260.27536622785;14833.981729510991
143;5495.91688936631;5434.167330812379;16455.132624584618;10745.185015820518
144;3040.4893791142117;7143.9672690771995;12855.136116251415;16289.516482120513
145;3980.815283084094;6732.129860613417;15743.114022556108;10801.264128797853
146;2536.1764051975583;4082.582436495018;15820.98993117696;13645.500354342432
147;3723.4020578480336;5336.135857720822;13905.415680780508;15902.551938165761
148;5747.3502764106815;5325.273616952446;13630.845031075842;12215.829504706628
149;3846.2039241007574;5910.207528445039;13881.973601237754;11853.491925255312
150;4249.903268535797;6433.287048097402;13217.656412532244;9639.91232351336
151;3905.002801189768;8260.926590834917;16923.579563020012;12695.063474618692
152;3350.1027689905522;5958.507883690175;12717.416781177477;15134.298396843285
153;4344.9684431302685;5931.322286445441;14119.361807475565;9500.013461434572
154;3993.254745909542;3736.216163618074;12987.607310449674;11282.515255061084
155;2342.6404009837424;4285.120284519666;10208.521640007948;12051.431016472072
